BurkinaFaso,Solenzo,16850
BurkinaFaso,Tenkodogo,44491
BurkinaFaso,Titao,19131
BurkinaFaso,Toma,12401
BurkinaFaso,Bonou-Toaga,17050
BurkinaFaso,Yako,22685
BurkinaFaso,Ziniare,18619
BurkinaFaso,Zorgo,20462
Burundi,Bubanza,2945
Burundi,Bujumbura,235440
Burundi,Bururi,15816
Burundi,Cankuzo,1643
Burundi,Cibitoke,8280
Burundi,Gitega,20708
Burundi,Karuzi,3403
Burundi,Kayanza,6881
Burundi,Kirundo,5181
Burundi,Makamba,5198
Burundi,Muramvya,2290
Burundi,Muyinga,5533
Burundi,Ngozi,14511
Burundi,Rutana,1944
Burundi,Ruyigi,2377
Cameroon,Abo,16022
Cameroon,Abong-Mbang,15663
Cameroon,Akonolinga,19282
Cameroon,Ambam,16060
Cameroon,Bafang,34941
Cameroon,Bafia,47471
Cameroon,Bafoussam,239287
Cameroon,Bafut,16388
Cameroon,Bali,17612
Cameroon,Bamenda,269530
Cameroon,Bandjoun,20354
Cameroon,Bangangte,28011
Cameroon,Banyo,30730
Cameroon,Batouri,31683
Cameroon,Belabo,15616
Cameroon,Bertoua,88462
Cameroon,Blangoua,17442
Cameroon,Bogo,21046
Cameroon,Buea,90090
Cameroon,Douala,1906
Cameroon,Dschang,63838
Cameroon,Ebolowa,64980
Cameroon,Edea,66581
Cameroon,Ekondo-Titi,15370
Cameroon,Eseka,17904
Cameroon,Figuil,20226
Cameroon,Foumban,83522
Cameroon,Foumbot,47643
Cameroon,Garoua,235996
Cameroon,Garoua Boulai,22410
Cameroon,Guider,52316
Cameroon,Guidiguis,15741
Cameroon,Kaele,25810
Cameroon,Kekem,17333
Cameroon,Fort-Foureau,89123
Cameroon,Kribi,59928
Cameroon,Kumba,144268
Cameroon,Kumbo,80212
Cameroon,Lagdo,21517
Cameroon,Victoria,84223
Cameroon,Loum,37537
Cameroon,Maga,15701
Cameroon,Magba,19829
Cameroon,Manjo,26758
Cameroon,Maroua,201371
Cameroon,Mbalmayo,52813
Cameroon,Mbandjock,18771
Cameroon,Mbanga,28306
